,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
36,2021-07-22,6.46e-06,6.66e-06,6.34e-06,6.53e-06,8024642335768.0,6.46e-06,6.66e-06,6.34e-06,6.53e-06,8024642335768.0,0.0,1.0
37,2021-07-23,6.48e-06,6.71e-06,6.11e-06,6.47e-06,8738714537927.0,6.48e-06,6.71e-06,6.11e-06,6.47e-06,8738714537927.0,0.0,1.0
38,2021-07-24,6.44e-06,6.66e-06,6.3e-06,6.47e-06,9418322711497.0,6.44e-06,6.66e-06,6.3e-06,6.47e-06,9418322711497.0,0.0,1.0
39,2021-07-25,6.36e-06,6.54e-06,6.16e-06,6.44e-06,7134617522583.0,6.36e-06,6.54e-06,6.16e-06,6.44e-06,7134617522583.0,0.0,1.0
40,2021-07-26,6.3e-06,6.91e-06,6.27e-06,6.37e-06,16516294538763.0,6.3e-06,6.91e-06,6.27e-06,6.37e-06,16516294538763.0,0.0,1.0
41,2021-07-27,6.32e-06,6.42e-06,6.04e-06,6.31e-06,9265285020382.0,6.32e-06,6.42e-06,6.04e-06,6.31e-06,9265285020382.0,0.0,1.0
42,2021-07-28,6.18e-06,6.35e-06,6.13e-06,6.32e-06,7615635864084.0,6.18e-06,6.35e-06,6.13e-06,6.32e-06,7615635864084.0,0.0,1.0
43,2021-07-29,6.29e-06,6.52e-06,6.08e-06,6.19e-06,8672288282737.0,6.29e-06,6.52e-06,6.08e-06,6.19e-06,8672288282737.0,0.0,1.0
44,2021-07-3,6.29e-06,6.41e-06,6.1e-06,6.29e-06,6229852499583.0,6.29e-06,6.41e-06,6.1e-06,6.29e-06,6229852499583.0,0.0,1.0
45,2021-07-31,6.24e-06,6.31e-06,6.2e-06,6.29e-06,5259519788336.0,6.24e-06,6.31e-06,6.2e-06,6.29e-06,5259519788336.0,0.0,1.0
46,2021-08-01,6.3e-06,6.72e-06,6.22e-06,6.25e-06,10539660595885.0,6.3e-06,6.72e-06,6.22e-06,6.25e-06,10539660595885.0,0.0,1.0
47,2021-08-02,6.34e-06,6.43e-06,6.21e-06,6.3e-06,6260531438700.0,6.34e-06,6.43e-06,6.21e-06,6.3e-06,6260531438700.0,0.0,1.0
48,2021-08-03,6.18e-06,6.4e-06,6.15e-06,6.34e-06,5034877517406.0,6.18e-06,6.4e-06,6.15e-06,6.34e-06,5034877517406.0,0.0,1.0
49,2021-08-04,6.23e-06,6.33e-06,6.11e-06,6.18e-06,5305360046735.0,6.23e-06,6.33e-06,6.11e-06,6.18e-06,5305360046735.0,0.0,1.0
50,2021-08-05,6.21e-06,6.25e-06,6.11e-06,6.24e-06,5866865024328.0,6.21e-06,6.25e-06,6.11e-06,6.24e-06,5866865024328.0,0.0,1.0
