,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
24,2021-02-08,59.93,59.93,59.93,59.93,0,59.93,59.93,59.93,59.93,0,0.0,1.0
25,2021-02-09,59.88,59.88,59.88,59.88,0,59.88,59.88,59.88,59.88,0,0.0,1.0
26,2021-02-1,59.86,59.86,59.86,59.86,0,59.86,59.86,59.86,59.86,0,0.0,1.0
27,2021-02-11,59.97,59.97,59.97,59.97,0,59.97,59.97,59.97,59.97,0,0.0,1.0
28,2021-02-12,60.26,60.26,60.26,60.26,0,60.26,60.26,60.26,60.26,0,0.0,1.0
29,2021-02-16,60.23,60.23,60.23,60.23,0,60.23,60.23,60.23,60.23,0,0.0,1.0
30,2021-02-17,60.22,60.22,60.22,60.22,0,60.22,60.22,60.22,60.22,0,0.0,1.0
31,2021-02-18,59.96,59.96,59.96,59.96,0,59.96,59.96,59.96,59.96,0,0.0,1.0
32,2021-02-19,59.85,59.85,59.85,59.85,0,59.85,59.85,59.85,59.85,0,0.0,1.0
33,2021-02-22,59.39,59.39,59.39,59.39,0,59.39,59.39,59.39,59.39,0,0.0,1.0
34,2021-02-23,59.47,59.47,59.47,59.47,0,59.47,59.47,59.47,59.47,0,0.0,1.0
35,2021-02-24,60.14,60.14,60.14,60.14,0,60.14,60.14,60.14,60.14,0,0.0,1.0
36,2021-02-25,58.68,58.68,58.68,58.68,0,58.68,58.68,58.68,58.68,0,0.0,1.0
37,2021-02-26,58.41,58.41,58.41,58.41,0,58.41,58.41,58.41,58.41,0,0.0,1.0
38,2021-03-01,59.8,59.8,59.8,59.8,0,59.8,59.8,59.8,59.8,0,0.0,1.0
39,2021-03-02,59.31,59.31,59.31,59.31,0,59.31,59.31,59.31,59.31,0,0.0,1.0
40,2021-03-03,58.54,58.54,58.54,58.54,0,58.54,58.54,58.54,58.54,0,0.0,1.0
41,2021-03-04,57.77,57.77,57.77,57.77,0,57.77,57.77,57.77,57.77,0,0.0,1.0
42,2021-03-05,58.89,58.89,58.89,58.89,0,58.89,58.89,58.89,58.89,0,0.0,1.0
43,2021-03-08,58.58,58.58,58.58,58.58,0,58.58,58.58,58.58,58.58,0,0.0,1.0
44,2021-03-09,59.41,59.41,59.41,59.41,0,59.41,59.41,59.41,59.41,0,0.0,1.0
45,2021-03-1,59.78,59.78,59.78,59.78,0,59.78,59.78,59.78,59.78,0,0.0,1.0
46,2021-03-11,60.4,60.4,60.4,60.4,0,60.4,60.4,60.4,60.4,0,0.0,1.0
