,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
71,2021-04-16,417.26,417.91,415.73,417.25,82037278,414.539725954,415.1854883608,413.0197005964,414.5297911477,82037278,0.0,1.0
72,2021-04-19,415.21,416.74,413.79,416.26,78498496,412.5030906709,414.0231160285,411.0923481822,413.5462453281,78498496,0.0,1.0
73,2021-04-2,412.17,415.0859,410.59,413.91,81851828,409.4829095683,412.3797997253,407.9132101794,411.2115658573,81851828,0.0,1.0
74,2021-04-21,416.07,416.29,411.36,411.51,66792983,413.3574840092,413.5760497469,408.6781902613,408.8272123552,66792983,0.0,1.0
75,2021-04-22,412.27,416.78,411.13,415.89,97582788,409.5822576309,414.0628552536,408.4496897174,413.1786574965,97582788,0.0,1.0
76,2021-04-23,416.74,418.25,412.79,412.87,73276195,414.0231160285,415.5232717736,410.0988675563,410.1783460064,73276195,0.0,1.0
77,2021-04-26,417.61,418.22,416.8111,417.44,52182392,414.8874441731,415.4934673548,414.093752501,414.7185524667,52182392,0.0,1.0
78,2021-04-27,417.52,418.14,416.3,417.93,51303056,414.7980309167,415.4139889048,413.5859845532,415.2053579733,51303056,0.0,1.0
79,2021-04-28,417.4,419.01,416.9,417.81,51238854,414.6788132416,416.2783170493,414.1820729287,415.0861402982,51238854,0.0,1.0
80,2021-04-29,420.06,420.72,416.44,420.32,78544329,417.3214717065,417.9771689195,413.7250718408,417.5797766692,78544329,0.0,1.0
81,2021-04-3,417.3,418.54,416.34,417.63,85527030,414.579465179,415.8113811551,413.6257237782,414.9073137856,85527030,0.0,1.0
82,2021-05-03,418.2,419.84,417.665,419.43,68128289,415.4735977423,417.1029059688,414.9420856075,416.6955789122,68128289,0.0,1.0
83,2021-05-04,415.62,416.6,411.67,416.07,101591166,412.9104177276,413.8840287409,408.9861692553,413.3574840092,101591166,0.0,1.0
84,2021-05-05,415.75,417.63,415.15,417.38,39960661,413.0395702089,414.9073137856,412.4434818334,414.6589436291,39960661,0.0,1.0
85,2021-05-06,419.07,419.21,413.675,415.83,74321368,416.3379258868,416.4770131745,410.9780979102,413.119048659,74321368,0.0,1.0
86,2021-05-07,422.12,422.815,419.16,419.89,67733790,419.3680417958,420.0585108307,416.4273391432,417.1525800001,67733790,0.0,1.0
87,2021-05-1,417.94,422.74,417.81,422.5,81852446,415.2152927796,419.9839997838,415.0861402982,419.7455644336,81852446,0.0,1.0
